"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"D67,D18,D88,D95,D21,D6,D22,D4,D5,D7,D8,D9,D10,D11,D12,D23,D24,D25,D26,D27,D28,D29,D30,D58,D59,D60,D61,D62,D63,D64,D65,D66,D40,D41,D42,D43,D44,D45,D46,D47,D48,D87,D89,D90,D91,D92,D93,D94,D49,D54,D55,D56,D57,D1,D2,D3,D72,D73,D74,D75,D31,D32,D36,D37,D38,D39,D13,D14,D19,D20,D76,D77,D78,D79,D80,D81,D82,D83,D84,D51,D50,D99,D98,D97,D96,D86,D85,D71,D70,D69,D68,D53,D52,D35,D34,D33,D17,D16,D15";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";99;"D_Small";;;
2;"SW18";"Kailh-PG1353-Hotswap-1U";1;"SUB";;;
3;"SW88";"Kailh-PG1353-Hotswap-1U";1;"CRTL";;;
4;"SW95";"Kailh-PG1353-Hotswap-1U";1;"B1";;;
5;"SW21";"Kailh-PG1353-Hotswap-1U";1;"2";;;
6;"SW6";"Kailh-PG1353-Hotswap-1U";1;"F5";;;
7;"SW22";"Kailh-PG1353-Hotswap-1U";1;"3";;;
8;"J3";"685L0421250110E";1;"Conn_01x04_Pin";;;
9;"J7,J5";"685F0321350124E";2;"Conn_01x03_Pin";;;
10;"J6,J4";"685F0321351124E";2;"Conn_01x03_Socket";;;
11;"J2";"686L0421350120E";1;"Conn_01x04_Socket";;;
12;"SW59";"Kailh-PG1353-Hotswap-1U";1;"G";;;
13;"SW60";"Kailh-PG1353-Hotswap-1U";1;"H";;;
14;"SW61";"Kailh-PG1353-Hotswap-1U";1;"J";;;
15;"SW62";"Kailh-PG1353-Hotswap-1U";1;"K";;;
16;"SW63";"Kailh-PG1353-Hotswap-1U";1;"L";;;
17;"SW64";"Kailh-PG1353-Hotswap-1U";1;";";;;
18;"SW65";"Kailh-PG1353-Hotswap-1U";1;"È";;;
19;"SW66";"Kailh-PG1353-Hotswap-1U";1;"À";;;
20;"SW67";"Kailh-PG1353-Hotswap-1.25U";1;"ENTER";;;
21;"SW32";"Kailh-PG1353-Hotswap-2U";1;"DEL";;;
22;"SW36";"Kailh-PG1353-Hotswap-1.5U";1;"TAB";;;
23;"SW37";"Kailh-PG1353-Hotswap-1U";1;"Q";;;
